Day,Hour,Min,Sec,Latitude,Longitude,GPSspeed,altamps,engrpm,Wheelspeed,CO2gps,Fuelconsgps,EngTq,Engpwr,FrctTq
16,6,2,25,44.948479,-93.262754,0.024,61.39,741.8025372,1.254617833,2.743833333,3.131666667,278.2566353,21.59666667,96.3
16,6,2,26,44.94848,-93.262754,0.012,63.01833333,746.7977182,0.471259833,2.68,3.058333333,272.8883708,21.32666667,96.3
16,6,2,27,44.948481,-93.262754,0.03,61.69333333,751.4252507,0.090571667,2.597,2.963333333,264.882525,20.845,96.3
16,6,2,28,44.948481,-93.262756,0.01,60.91,750.7964625,0.0047425,2.637166667,3.01,259.5133825,20.405,96.3
16,6,2,29,44.948481,-93.262758,0.067,60.90166667,750.5434777,0,2.733833333,3.12,256.8191968,20.185,96.3
16,6,2,30,44.948482,-93.262761,0.064,61.13,750.1486818,0,2.734333333,3.12,256.8,20.17166667,96.3
16,6,2,31,44.948482,-93.262764,0.06,61.71333333,749.8769458,0,2.745666667,3.133333333,256.8,20.165,96.3
16,6,2,32,44.948482,-93.262766,0.029,61.54333333,750.247315,0,2.727,3.111666667,256.8,20.175,96.3
16,6,2,33,44.948482,-93.262768,0.02,62.96,750.0224805,0,2.7155,3.098333333,256.8,20.17,96.3
16,6,2,34,44.948482,-93.262771,0.028,63.09,750.0208285,0,2.727833333,3.111666667,259.4557078,20.37833333,96.3
16,6,2,35,44.948481,-93.262773,0.035,62.93666667,749.7519168,0,2.734333333,3.118333333,259.4751387,20.37333333,96.3
16,6,2,36,44.94848,-93.262774,0.018,63.86,749.315602,0,2.745833333,3.131666667,262.13104,20.57,96.3
16,6,2,37,44.948479,-93.262776,0.01,64.12666667,749.56063,0,2.737666667,3.121666667,262.1503855,20.57666667,96.3
16,6,2,38,44.948478,-93.262777,0.045,65.08,743.8742325,0.031678833,2.842666667,3.241666667,272.7738538,21.22333333,96.3
16,6,2,39,44.948476,-93.262776,0.892,63.78,742.3440547,0.410997833,3.047833333,3.475,286.1297777,22.21666667,96.3
16,6,2,40,44.948471,-93.262774,2.001,62.94833333,742.6642105,1.056886167,3.053333333,3.481666667,294.1932977,22.86,96.3
16,6,2,41,44.948461,-93.262771,2.699,64.12166667,742.9975533,1.814129667,3.197166667,3.645,304.8738668,23.71,96.3
16,6,2,42,44.948449,-93.26277,2.826,61.63166667,743.9927887,2.6115955,3.324333333,3.79,312.9179655,24.37166667,96.3
16,6,2,43,44.948437,-93.262771,2.847,62.95333333,743.5656237,3.330197667,3.5275,4.021666667,323.59862,25.19833333,96.32335733
16,6,2,44,44.948426,-93.262771,2.278,60.2,793.8461053,4.0112575,4.737333333,5.401666667,403.351202,35.4,101.7138067
16,6,2,45,44.948415,-93.262774,3.782,61.42666667,897.9177868,4.894543167,6.917666667,7.888333333,472.9202782,49.00833333,117.7531657
16,6,2,46,44.948398,-93.262793,6.673,62.98166667,970.2378065,6.110095167,8.528166667,9.725,545.9459542,60.5,131.162669
16,6,2,47,44.948378,-93.26283,9.209,62.08833333,1068.5254,7.743726,11.65133333,13.28833333,682.5064993,82.99166667,152.6202265
16,6,2,48,44.948364,-93.262889,12.034,64.21,1232.253356,9.983597833,16.55216667,18.87666667,829.3955377,115.185,187.3724113
16,6,2,49,44.948359,-93.262965,14.044,63.31333333,1350.660449,12.98271483,20.02866667,22.84166667,958.0666483,138.8216667,216.774054
16,6,2,50,44.948363,-93.263056,15.656,65.31,1410.1009,16.666332,22.83716667,26.045,1028.461861,153.9416667,240.7745157
16,6,2,51,44.94837,-93.263152,17.448,64.16666667,1377.529339,20.38488717,23.40866667,26.69666667,1127.640176,163.505,246.1466468
16,6,2,52,44.948381,-93.263258,19.335,63.17666667,1395.781159,24.05058183,25.61533333,29.21333333,1241.337428,180.365,256.835318
16,6,2,53,44.94839,-93.263376,21.253,62.21833333,1406.933238,27.70840367,26.29733333,29.99,1250.711973,183.0783333,264.7795182
16,6,2,54,44.948395,-93.263505,22.953,61.51833333,1342.242892,31.06835917,23.26066667,26.52666667,1157.11816,161.7316667,254.0332625
16,6,2,55,44.948396,-93.263643,23.756,61.565,1274.853828,33.87003367,20.77116667,23.68833333,1066.000146,143.9566667,232.6217395
16,6,2,56,44.948396,-93.263781,23.987,61.285,1221.413683,36.00329867,17.51883333,19.97833333,960.9601383,125.51,208.5693162
16,6,2,57,44.948397,-93.26392,24.026,60.40666667,1201.569283,37.530032,14.90816667,17.00166667,800.1186645,105.0283333,189.832826
16,6,2,58,44.948397,-93.264058,23.825,61.18166667,1159.714486,38.44720817,11.2815,12.865,612.6868742,78.23666667,168.4190055
16,6,2,59,44.948399,-93.264193,23.564,65.165,1113.29109,38.70521083,7.090833333,8.086666667,413.2517837,48.81833333,144.3774738
16,6,3,0,44.948402,-93.264326,22.836,66.89333333,1114.350875,38.37199933,4.635,5.286666667,306.4565587,33.755,128.3965447
16,6,3,1,44.948404,-93.264454,21.88,67.12666667,1158.676145,37.62950267,2.988666667,3.408333333,215.403462,23.7,128.4080677
16,6,3,2,44.948405,-93.264576,20.71,66.81166667,1189.74383,36.42804667,1.6715,1.906666667,116.8722062,12.80833333,131.09458
16,6,3,3,44.948407,-93.264686,18.288,68.605,1244.385951,34.58115017,0.878166667,1.001666667,52.81036533,5.768333333,136.44458
16,6,3,4,44.948408,-93.264783,16.059,66.63166667,1269.457835,32.13908067,0.217333333,0.248333333,0,0,141.7734073
16,6,3,5,44.94841,-93.264864,13.383,65.11333333,1235.998774,29.10404167,0.009,0.01,0.315239833,0.03,141.7528272
16,6,3,6,44.948412,-93.26493,10.738,62.46166667,1136.489702,25.60939483,0.2405,0.273333333,24.666162,1.958333333,136.3910212
16,6,3,7,44.948413,-93.26498,8.243,63.09166667,1036.366919,21.87249733,0.606833333,0.691666667,70.21041483,5.391666667,128.3660212
16,6,3,8,44.948414,-93.265018,6.572,63.30166667,947.5041123,18.09991133,1.174166667,1.338333333,121.0354148,9.163333333,120.3410212
16,6,3,9,44.948414,-93.265047,4.801,61.48166667,838.0164873,14.50508317,1.782,2.031666667,171.8604148,12.99833333,112.3160212
16,6,3,10,44.948415,-93.265066,2.864,61.73833333,760.201423,11.0377865,2.341666667,2.67,222.6854148,16.865,104.3028398
16,6,3,11,44.948416,-93.265073,1.074,60.88,728.2391815,7.902459833,2.749166667,3.135,273.0925455,20.75333333,98.963194
16,6,3,12,44.948416,-93.265072,0.04,63.33166667,729.1076585,5.344881167,2.976166667,3.395,291.5416233,22.23833333,96.3
16,6,3,13,44.948415,-93.26507,0.024,64.30333333,734.2740372,3.304881667,3.057833333,3.488333333,288.7973705,22.17,96.3
16,6,3,14,44.948415,-93.265068,0.007,62.90166667,740.9782868,1.749302833,2.834833333,3.235,280.8066725,21.75833333,96.3
16,6,3,15,44.948415,-93.265066,0.009,64.12166667,745.7813398,0.683134333,2.687333333,3.066666667,275.4232862,21.48833333,96.3
16,6,3,16,44.948415,-93.265064,0.029,64.12166667,749.8403003,0.148189333,2.4775,2.826666667,267.3982862,20.98833333,96.3
16,6,3,17,44.948414,-93.265063,0.015,64.14833333,751.9810545,0.011856167,2.509,2.863333333,259.4759157,20.43333333,96.3
16,6,3,18,44.948414,-93.265061,0.032,61.34666667,750.520132,0,2.393833333,2.731666667,259.4759157,20.39333333,96.3
16,6,3,19,44.948414,-93.265059,0.015,59.08333333,750.4049993,0,2.387,2.723333333,259.5788022,20.39833333,96.3
16,6,3,20,44.948414,-93.265056,0.018,60.3,745.4166815,0.031427167,2.5725,2.935,268.5986055,20.94333333,96.33495067
16,6,3,21,44.948415,-93.265057,0.707,58.13833333,801.2772693,0.447920167,4.099666667,4.676666667,354.3003045,32.27166667,104.405956
16,6,3,22,44.948416,-93.265067,2.814,59.23333333,904.0198265,1.601696,6.557666667,7.48,448.1651447,48.475,123.130956
16,6,3,23,44.948416,-93.265091,5.796,60.11666667,982.7517663,3.589246333,9.2125,10.50666667,560.7885968,65.01333333,141.9019185
16,6,3,24,44.948417,-93.265134,8.662,60.27,1110.972916,6.2692255,12.38616667,14.12666667,694.4712527,89.77,171.2924068
16,6,3,25,44.948418,-93.265191,10.825,61.52166667,1189.593902,9.511115667,15.278,17.425,823.3491348,108.3783333,192.703972
